Order_ID,Order_Date,Region,Category,Product,Sales_Rep,Customer_Segment,Customer_ID,Payment_Mode,Quantity,Unit_Price,Discount(%),Sales,Cost,Profit,Profit_Margin(%),Shipping_Cost,Order_Priority
ORD-1000,2023-04-10,East,Grocery,Beverages,Emma,Consumer,CUST-971,Cash,21,1658,5,33077.1,21136.22158715315,11940.878412846847,36.10013699159494,21.035886311957896,High
ORD-1001,2024-07-14,South,Clothing,T-Shirt,Emma,Small Business,CUST-574,Bank Transfer,6,405,15,2065.5,1334.005503775567,731.4944962244331,35.41488725366415,67.80602616231216,Medium
ORD-1002,2023-06-16,West,Furniture,Bookshelf,Raj,Small Business,CUST-373,Cash,23,1287,0,29601.0,18104.344666731162,11496.655333268838,38.83873968200006,125.43352186127329,Low
ORD-1003,2024-05-23,South,Electronics,Monitor,Priya,Consumer,CUST-875,Bank Transfer,26,584,5,14424.8,11122.361140208139,3302.4388597918605,22.894174337196084,93.62897381052424,Low
ORD-1004,2024-12-03,West,Clothing,Shirt,Alice,Small Business,CUST-501,PayPal,4,1045,25,3135.0,2288.603311598109,846.396688401891,26.998299470554738,113.87495307522313,Low
ORD-1005,2024-12-20,South,Grocery,Pasta,Sara,Corporate,CUST-848,PayPal,16,1314,25,15768.0,10233.36444365627,5534.63555634373,35.10042843952137,18.59318489300223,Medium
ORD-1006,2024-10-09,North,Sports,Cricket Bat,Karan,Consumer,CUST-571,Bank Transfer,15,1856,0,27840.0,16812.82939091871,11027.170609081291,39.60908983147016,90.44628133421023,Medium
ORD-1007,2023-05-15,North,Clothing,Jacket,Emma,Home Office,CUST-300,Cash,3,308,10,831.6,514.3538830955174,317.2461169044826,38.14888370664774,78.1084884234118,Low
ORD-1008,2024-09-04,North,Grocery,Pasta,David,Home Office,CUST-561,Bank Transfer,24,824,10,17798.4,13310.078636184302,4488.321363815699,25.21755530730683,62.19714066811219,Medium
ORD-1009,2024-04-05,South,Electronics,Camera,David,Home Office,CUST-790,Bank Transfer,14,890,10,11214.0,8193.88148717242,3020.1185128275793,26.931679265450143,91.23279348812443,Low
ORD-1010,2024-11-29,Central,Electronics,Monitor,Sara,Corporate,CUST-342,PayPal,5,1450,20,5800.0,4262.769582387426,1537.2304176125735,26.50397271745816,48.58163269960619,Critical
ORD-1011,2024-10-01,South,Grocery,Pasta,Karan,Consumer,CUST-605,Bank Transfer,6,815,15,4156.5,2720.886919322942,1435.613080677058,34.53898906957916,89.13689009536958,High
ORD-1012,2024-02-15,North,Grocery,Rice,John,Consumer,CUST-748,PayPal,27,652,15,14963.4,10296.947206217676,4666.452793782324,31.18577859164578,67.90843905002552,Low
ORD-1013,2024-05-11,East,Sports,Football,Priya,Small Business,CUST-541,Cash,24,1870,25,33660.0,22036.900907707386,11623.099092292614,34.53089451067324,116.03938038329483,Medium
ORD-1014,2023-08-13,East,Grocery,Pasta,John,Consumer,CUST-484,Bank Transfer,17,971,0,16507.0,11005.138550660531,5501.861449339469,33.33047464311788,195.55684160820405,Medium
ORD-1015,2023-10-21,West,Furniture,Desk,Priya,Small Business,CUST-379,Credit Card,6,1459,15,7440.9,4614.945378977275,2825.9546210227245,37.97866684168212,80.23434665166684,Low
ORD-1016,2024-02-07,East,Grocery,Pasta,John,Consumer,CUST-445,Bank Transfer,28,206,25,4326.0,3348.1215505443383,977.8784494556617,22.604679830227965,173.08817291460676,Medium
ORD-1017,2023-05-31,West,Clothing,Shoes,Karan,Consumer,CUST-514,PayPal,8,1683,5,12790.8,10353.225605659862,2437.5743943401376,19.057247352316804,138.38112223746333,High
ORD-1018,2023-02-06,West,Furniture,Sofa,Priya,Small Business,CUST-259,Bank Transfer,25,1615,0,40375.0,26666.196561276432,13708.803438723568,33.95369272748871,27.68952588312085,High
ORD-1019,2024-08-09,East,Electronics,Laptop,Raj,Small Business,CUST-724,Cash,16,1174,15,15966.4,13120.734171096641,2845.6658289033585,17.82283939337207,158.17635371294853,Medium
ORD-1020,2024-12-20,East,Grocery,Snacks,Karan,Home Office,CUST-780,Cash,25,1904,5,45220.0,28949.93502127482,16270.064978725179,35.979798714562534,114.25941997965137,Medium
ORD-1021,2024-04-14,North,Electronics,Monitor,Tom,Small Business,CUST-474,PayPal,20,1547,10,27846.0,21285.572149748838,6560.427850251162,23.559677692491427,117.9786346337396,Low
ORD-1022,2024-06-30,East,Sports,Tennis Racket,Alice,Consumer,CUST-291,Credit Card,1,303,0,303.0,196.58965632570187,106.41034367429813,35.11892530504889,147.265901899686,Low
ORD-1023,2024-08-29,West,Electronics,Monitor,Tom,Corporate,CUST-198,Cash,3,1935,0,5805.0,4866.145517993512,938.8544820064881,16.17320382440117,72.8425578873976,Medium
ORD-1024,2024-07-23,Central,Electronics,Monitor,Tom,Small Business,CUST-422,Cash,23,1204,10,24922.8,16009.738456777035,8913.061543222964,35.76268133284769,115.79223986708654,Critical
ORD-1025,2024-11-12,East,Furniture,Table,Priya,Corporate,CUST-858,PayPal,26,804,0,20904.0,13256.383078116041,7647.616921883959,36.58446671394929,144.69308941292255,Medium
ORD-1026,2024-02-04,North,Clothing,Jeans,Emma,Consumer,CUST-753,Cash,28,1549,0,43372.0,32831.45914128806,10540.540858711938,24.302639626284094,46.91205116728803,Low
ORD-1027,2023-11-10,South,Clothing,Shoes,Alice,Small Business,CUST-669,PayPal,23,873,10,18071.100000000002,12946.127086368377,5124.9729136316255,28.360049546688497,113.10248059443956,Low
ORD-1028,2024-09-11,South,Electronics,Monitor,Nina,Home Office,CUST-104,Bank Transfer,22,1022,15,19111.399999999998,13027.530635615212,6083.8693643847855,31.833718955098977,167.29511071964185,Low
ORD-1029,2023-04-30,West,Grocery,Beverages,Raj,Home Office,CUST-930,Bank Transfer,8,1863,20,11923.2,10043.915493493885,1879.2845065061156,15.76157832214603,145.7730697941909,Low
ORD-1030,2023-04-06,South,Grocery,Pasta,Tom,Corporate,CUST-737,PayPal,21,1873,0,39333.0,30369.991649201038,8963.008350798962,22.787502480865843,21.056783146604285,Critical
ORD-1031,2024-10-17,Central,Electronics,Camera,John,Small Business,CUST-534,Credit Card,29,723,20,16773.600000000002,12629.349777259133,4144.2502227408695,24.706981344141205,89.72401186128009,Low
ORD-1032,2024-04-18,West,Electronics,Camera,Tom,Home Office,CUST-531,Credit Card,17,113,25,1440.75,1217.2574485278597,223.49255147214035,15.512236784462283,43.31275127897432,Low
ORD-1033,2024-10-20,Central,Grocery,Rice,David,Corporate,CUST-541,Cash,10,1801,20,14408.0,11838.622755047567,2569.377244952433,17.832990317548813,59.56978843492565,Low
ORD-1034,2024-10-25,Central,Electronics,Camera,Sara,Small Business,CUST-789,Bank Transfer,24,355,5,8094.0,4910.045636880972,3183.954363119028,39.33721723645945,121.29736044195802,Critical
ORD-1035,2023-10-12,North,Grocery,Rice,Raj,Home Office,CUST-496,Cash,5,1311,10,5899.5,4749.727041207148,1149.7729587928516,19.48932890571831,133.78210665297973,Low
ORD-1036,2024-02-22,East,Furniture,Desk,Alice,Home Office,CUST-214,Credit Card,23,868,5,18965.8,12891.887002256353,6073.912997743646,32.025609242655975,170.52630908419636,Low
